Hour,Severity,AccidentCount
0,2,956
0,3,153
1,1,48
1,2,1731
1,3,380
1,4,81
2,2,2486
3,1,83
3,2,4500
3,3,1020
3,4,122
4,1,123
5,1,137
5,2,6572
5,4,139
6,1,34
6,2,4145
6,3,963
6,4,130
7,4,107
8,2,3933
9,3,897
10,3,890
10,4,137
11,1,38
11,2,5167
11,3,1014
12,1,39
12,2,6141
12,3,1183
13,1,68
13,3,1440
13,4,166
14,4,152
15,1,54
15,4,151
16,1,26
16,2,3204
17,3,573
17,4,124
18,2,2216
19,1,4
19,4,112
20,2,1455
20,3,191
21,1,5
21,2,1346
21,4,109
22,1,3
22,2,1136
22,3,141
23,1,5
23,3,140
23,4,77
0,1,3
0,4,72
2,1,55
2,3,536
2,4,106
4,2,6626
4,3,1339
4,4,130
5,3,1401
7,1,30
7,2,3827
7,3,897
8,1,37
8,3,888
8,4,131
9,1,20
9,2,4079
9,4,130
10,1,32
10,2,4455
11,4,149
12,4,150
13,2,6595
14,1,84
14,2,6576
14,3,1489
15,2,4795
15,3,1232
16,3,791
16,4,152
17,1,14
17,2,2525
18,1,11
18,3,445
18,4,105
19,2,1960
19,3,393
20,1,7
20,4,106
21,3,163
22,4,56
23,2,1161
