Weekday,WeekdayName,Severity,AccidentCount
1,Monday,4,427
1,Monday,1,149
1,Monday,2,13631
1,Monday,3,2904
2,Tuesday,2,14648
2,Tuesday,3,2993
2,Tuesday,4,466
2,Tuesday,1,199
3,Wednesday,1,167
3,Wednesday,2,15042
3,Wednesday,3,3128
3,Wednesday,4,438
4,Thursday,2,15006
4,Thursday,3,3112
4,Thursday,4,486
4,Thursday,1,187
5,Friday,2,15686
5,Friday,3,3313
5,Friday,1,195
5,Friday,4,477
6,Saturday,1,28
6,Saturday,2,7450
6,Saturday,3,1698
6,Saturday,4,315
7,Sunday,2,6124
7,Sunday,1,35
7,Sunday,3,1411
7,Sunday,4,285
