StateID,State,Severity,AccidentCount
AL,Alabama,1,7
AL,Alabama,3,288
AR,Arkansas,3,8
AR,Arkansas,4,52
AZ,Arizona,4,75
CA,California,2,20764
CA,California,3,3907
CA,California,4,197
CO,Colorado,2,832
CT,Connecticut,3,224
DC,District of Columbia,2,225
DC,District of Columbia,3,7
DE,Delaware,1,3
DE,Delaware,2,153
DE,Delaware,3,16
DE,Delaware,4,24
FL,Florida,1,106
FL,Florida,2,10700
FL,Florida,3,1442
GA,Georgia,1,11
GA,Georgia,2,1348
GA,Georgia,3,911
GA,Georgia,4,167
IA,Iowa,2,230
IA,Iowa,3,116
ID,Idaho,2,145
ID,Idaho,4,6
IL,Illinois,3,869
IN,Indiana,1,8
IN,Indiana,2,639
IN,Indiana,4,70
KS,Kansas,2,210
KS,Kansas,3,78
KY,Kentucky,4,15
LA,Louisiana,3,268
MA,Massachusetts,4,8
MD,Maryland,1,6
ME,Maine,3,7
MI,Michigan,1,14
MI,Michigan,2,1599
MN,Minnesota,1,7
MN,Minnesota,2,2262
MN,Minnesota,3,429
MN,Minnesota,4,8
MO,Missouri,2,705
MO,Missouri,3,374
MS,Mississippi,1,1
MS,Mississippi,3,56
MS,Mississippi,4,15
MT,Montana,2,382
MT,Montana,3,6
NC,North Carolina,1,80
NC,North Carolina,4,148
ND,North Dakota,2,51
NE,Nebraska,2,340
NE,Nebraska,4,8
NH,New Hampshire,2,102
NH,New Hampshire,4,4
NJ,New Jersey,3,340
NJ,New Jersey,4,76
NM,New Mexico,2,93
NM,New Mexico,3,39
NM,New Mexico,4,7
NV,Nevada,1,3
NY,New York,1,17
NY,New York,2,3828
NY,New York,4,168
OH,Ohio,2,1116
OH,Ohio,4,91
OK,Oklahoma,1,17
OK,Oklahoma,2,1054
OK,Oklahoma,3,91
OK,Oklahoma,4,2
OR,Oregon,3,114
PA,Pennsylvania,2,3539
PA,Pennsylvania,4,212
RI,Rhode Island,2,140
RI,Rhode Island,4,3
SC,South Carolina,1,83
SC,South Carolina,2,4665
SD,South Dakota,2,2
SD,South Dakota,4,2
TN,Tennessee,1,39
TN,Tennessee,2,1881
TN,Tennessee,3,409
TN,Tennessee,4,56
TX,Texas,1,69
TX,Texas,4,85
UT,Utah,2,1112
UT,Utah,4,24
VA,Virginia,1,35
VT,Vermont,4,1
WA,Washington,1,14
WA,Washington,2,1073
WA,Washington,4,56
WI,Wisconsin,2,297
WI,Wisconsin,3,142
WV,West Virginia,2,154
WY,Wyoming,3,1
AL,Alabama,2,1109
AL,Alabama,4,28
AR,Arkansas,2,253
AZ,Arizona,1,94
AZ,Arizona,2,2008
AZ,Arizona,3,268
CA,California,1,163
CO,Colorado,1,12
CO,Colorado,3,373
CO,Colorado,4,109
CT,Connecticut,1,1
CT,Connecticut,2,766
CT,Connecticut,4,55
DC,District of Columbia,1,1
DC,District of Columbia,4,18
FL,Florida,4,189
IA,Iowa,4,30
ID,Idaho,3,3
IL,Illinois,1,31
IL,Illinois,2,1448
IL,Illinois,4,57
IN,Indiana,3,247
KS,Kansas,4,18
KY,Kentucky,1,5
KY,Kentucky,2,266
KY,Kentucky,3,164
LA,Louisiana,1,39
LA,Louisiana,2,1766
LA,Louisiana,4,31
MA,Massachusetts,1,14
MA,Massachusetts,2,593
MA,Massachusetts,3,233
MD,Maryland,2,1530
MD,Maryland,3,373
MD,Maryland,4,165
ME,Maine,2,46
ME,Maine,4,3
MI,Michigan,3,581
MI,Michigan,4,108
MO,Missouri,1,1
MO,Missouri,4,39
MS,Mississippi,2,143
MT,Montana,4,6
NC,North Carolina,2,4223
NC,North Carolina,3,418
NE,Nebraska,3,68
NH,New Hampshire,1,1
NH,New Hampshire,3,33
NJ,New Jersey,1,2
NJ,New Jersey,2,1608
NM,New Mexico,1,3
NV,Nevada,2,256
NV,Nevada,3,54
NV,Nevada,4,5
NY,New York,3,977
OH,Ohio,1,30
OH,Ohio,3,457
OR,Oregon,1,16
OR,Oregon,2,2308
OR,Oregon,4,70
PA,Pennsylvania,1,17
PA,Pennsylvania,3,441
RI,Rhode Island,1,3
RI,Rhode Island,3,102
SC,South Carolina,3,582
SC,South Carolina,4,51
TX,Texas,2,6330
TX,Texas,3,1679
UT,Utah,1,4
UT,Utah,3,224
VA,Virginia,2,3236
VA,Virginia,3,726
VA,Virginia,4,256
VT,Vermont,2,10
WA,Washington,3,409
WI,Wisconsin,1,3
WI,Wisconsin,4,58
WV,West Virginia,3,5
WV,West Virginia,4,10
WY,Wyoming,2,47
WY,Wyoming,4,8
