Month,MonthName,Severity,AccidentCount
1,January,1,1
1,January,2,8833
1,January,3,1559
1,January,4,254
2,February,1,10
2,February,2,7774
2,February,3,1435
2,February,4,223
3,March,1,56
3,March,2,6161
3,March,3,1470
3,March,4,215
4,April,1,148
4,April,2,6560
4,April,3,1509
4,April,4,237
5,May,1,234
5,May,2,5995
5,May,3,1524
5,May,4,230
6,June,1,211
6,June,2,5809
6,June,3,1630
6,June,4,255
7,July,1,118
7,July,2,5520
7,July,3,1401
7,July,4,236
8,August,1,135
8,August,2,6592
8,August,3,1728
8,August,4,229
9,September,1,39
9,September,2,7448
9,September,3,1646
9,September,4,220
10,October,1,3
10,October,2,7843
10,October,3,1586
10,October,4,251
11,November,1,4
11,November,2,9002
11,November,3,1556
11,November,4,261
12,December,1,1
12,December,2,10050
12,December,3,1515
12,December,4,283
