ID,ID_str,Source,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Street,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight
426213,A-4085089,Source1,2,2022-05-20 10:34:00,2022-05-20 11:49:01,37.675816,-77.630725,37.677349,-77.633709,0.195,Incident on KAIN RD near WILLANE RD Drive with caution., Kain Rd,Glen Allen,Henrico,VA,23059-5725,US,US/Eastern,KOFP    ,2022-05-20 10:54:00,93.0,93.0,44.0,29.67,10.0,SW,15.0,0.0,Fair,false,false,false,false,false,false,false,false,false,false,false,false,false,Day,Day,Day,Day
430355,A-7232501,Source1,2,2020-01-20 21:36:00,2020-01-20 22:28:56,33.324282000000004,-117.15811599999999,33.324282000000004,-117.15811599999999,0.0,At CA-76/Pala Rd - Accident.,Escondido Fwy N,Fallbrook,San Diego,CA,92028,US,US/Pacific,KNFG    ,2020-01-20 21:55:00,53.0,53.0,89.0,30.03,2.0,CALM,0.0,0.12,Heavy Rain,false,false,false,false,false,false,false,false,false,false,false,false,false,Night,Night,Night,Night
253644,A-6336229,Source1,2,2021-03-06 07:20:00,2021-03-06 09:00:30,38.122194,-122.31343999999999,38.154881,-122.422067,6.32,Stationary traffic on CA-37 W - CA-37 from Wilson Ave (CA-37) to CA-121/Arnold Dr (CA-37) due to accident.,Sears Point Rd,Vallejo,Solano,CA,94592,US,US/Pacific,KAPC    ,2021-03-06 06:54:00,50.0,50.0,74.0,30.14,10.0,CALM,0.0,0.0,Fair,false,false,false,false,false,false,false,false,false,false,false,false,false,Day,Day,Day,Day
91427,A-5810614,Source1,2,2021-08-03 12:47:00,2021-08-03 13:47:30,37.765182,-122.40515,37.751863,-122.403198,0.9259999999999999,Slow traffic on James Lick Fwy S - US-101 S from San Francisco-Oakland Bay Bridge to exit [432] due to accident.,James Lick Fwy S,San Francisco,San Francisco,CA,94103,US,US/Pacific,KSFO    ,2021-08-03 12:56:00,67.0,67.0,63.0,29.95,10.0,NW,21.0,0.0,Fair / Windy,false,false,false,false,false,false,false,false,false,false,false,false,false,Day,Day,Day,Day
103420,A-1793475,Source2,2,2019-11-01 03:20:59,2019-11-01 04:46:32,29.729065000000002,-95.520515,\N,\N,0.0,Accident on Richmond Ave at Fondren Rd.,Fondren Rd,Houston,Harris,TX,77063-5622,US,US/Central,KMCJ    ,2019-11-01 02:53:00,39.0,36.0,76.0,30.35,10.0,N,5.0,0.0,Fair,false,false,true,false,false,false,false,false,false,false,false,true,false,Night,Night,Night,Day
475499,A-4943042,Source1,2,2022-05-23 07:54:30,2022-05-23 10:04:54,40.60967700000001,-73.96521899999998,40.608794,-73.96755,0.1369999999999999,Slow traffic on Ocean Pkwy from E 8th St to Quentin Rd due to accident., Avenue P,Brooklyn,Kings,NY,11223-2222,US,US/Eastern,KJRB    ,2022-05-23 07:51:00,66.0,66.0,42.0,30.12,10.0,NNW,10.0,0.0,Fair,false,false,true,false,false,false,false,false,false,false,false,true,false,Day,Day,Day,Day
473657,A-4175476,Source1,2,2023-02-03 07:35:00,2023-02-03 09:49:29,37.689269,-122.10591299999999,37.689258,-122.106008,0.005,Accident on I-238 N from I-238/I-580 (I-238) to CA-185/14th St/Mission Blvd (I-238).,I-238 N,Hayward,Alameda,CA,94541,US,US/Pacific,KHWD    ,2023-02-03 07:54:00,51.0,51.0,80.0,30.23,10.0,SSE,6.0,0.0,Light Rain,false,false,false,false,false,false,false,false,false,false,false,false,false,Day,Day,Day,Day
460569,A-3064480,Source3,2,2018-01-12 12:03:08,2018-01-12 12:47:39,29.805927,-95.56354499999999,\N,\N,0.7200000286102295,Accident on exit ramp from W Sam Houston Tollway Northbound to Hammerly Blvd.,W Sam Houston Tollway N,Houston,Harris,TX,77043,US,US/Central,KMCJ    ,2018-01-12 11:55:00,48.2,\N,27.0,30.17,10.0,NW,10.4,\N,Clear,false,false,false,false,true,false,false,false,false,false,false,false,false,Day,Day,Day,Day
27932,A-7376035,Source1,2,2019-11-09 01:26:00,2019-11-09 07:40:27,38.605519,-122.59540700000001,38.605519,-122.59540700000001,0.0,At CA-29/Lake County Hwy - Accident., Lake County Hwy,Calistoga,Napa,CA,94515-9738,US,US/Pacific,KSTS    ,2019-11-09 01:53:00,43.0,43.0,100.0,29.99,0.25,CALM,0.0,0.0,Fog,false,false,false,false,false,false,false,false,false,false,false,false,false,Night,Night,Night,Night
7311,A-7011742,Source1,2,2020-05-05 18:39:37,2020-05-05 19:48:22,33.79222,-117.22878999999999,33.791129999999995,-117.22731999999999,0.113,Between Nuevo Rd and CA-74 W - Accident.,Escondido Fwy S,Perris,Riverside,CA,92570,US,US/Pacific,KRIV    ,2020-05-05 18:58:00,63.0,63.0,58.0,28.36,10.0,W,3.0,0.0,Fair,false,false,false,false,false,false,false,false,false,false,false,false,false,Night,Night,Night,Night
